studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
database_itrdb_ak089,Lower Twin Lake,FALSE,60.65,-154.02,,2003,2003,1600,Picea,glauca,,(Moench) Voss,Wiles - Lower Twin Lake - PCGL - ITRDB AK089,"Wiles, G.; Driscoll, W.; D'Arrigo, R.D.",https://doi.org/10.25921/vq5h-zs34,FALSE
database_itrdb_ak104,Dalton Highway,FALSE,67.9667,-149.7667,,2000,2000,1303,Picea,glauca,,(Moench) Voss,Jacoby - Dalton Highway - PCGL - ITRDB AK104,"Jacoby, G.C.; Davi, N.K.",https://doi.org/10.25921/7evb-ge23,FALSE
database_itrdb_ak106,Sukak Pak,FALSE,67.35,-149.4667,,1979,1979,952,Picea,glauca,,(Moench) Voss,Jacoby - Sukak Pak - PCGL - ITRDB AK106,"Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.",https://doi.org/10.25921/gw4b-en15,FALSE
database_itrdb_ak109,412/Noatak,FALSE,67.9167,-162.3,,1990,1990,1524,Picea,glauca,,(Moench) Voss,Jacoby - 412/Noatak - PCGL - ITRDB AK109,"Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.",https://doi.org/10.25921/70b3-9742,FALSE
database_itrdb_ak110,Giddings,FALSE,67.0833,-157.9167,,1990,1990,980,Picea,glauca,,(Moench) Voss,Jacoby - Giddings - PCGL - ITRDB AK110,"Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.",https://doi.org/10.25921/nxq5-mc21,FALSE
database_itrdb_cana005,Nain A+b,FALSE,56.55,-62,,1973,1973,1769,Picea,glauca,,(Moench) Voss,Ames - Nain A+b - PCGL - ITRDB CANA005,"Ames, M.H.",https://doi.org/10.25921/4enn-2029,FALSE
database_itrdb_cana008,Thelon Game Sanctuary,FALSE,63.83,-104,,1969,1969,1574,Picea,glauca,,(Moench) Voss,Dennis - Thelon Game Sanctuary - PCGL - ITRDB CANA008,"Dennis, J.",https://doi.org/10.25921/6928-9t73,FALSE
database_itrdb_cana029,Spruce Creek,FALSE,68.63,-138.63,,1977,1977,1570,Picea,glauca,,(Moench) Voss,Church - Spruce Creek - PCGL - ITRDB CANA029,"Church, M.; Fritts, H.C.",https://doi.org/10.25921/q1jr-qz45,FALSE
database_itrdb_cana030,Border Beacon,FALSE,55.33,-63.25,,1976,1976,1660,Picea,glauca,,(Moench) Voss,Fritts - Border Beacon - PCGL - ITRDB CANA030,"Fritts, H.C.; Wright, H.E.",https://doi.org/10.25921/xpjx-sv71,FALSE
database_itrdb_cana046,Bras d'Or Lake,FALSE,62.45,-116.13,,1988,1988,1795,Picea,glauca,,(Moench) Voss,Schweingruber - Bras d'Or Lake - PCGL - ITRDB CANA046,"Schweingruber, F.H.",https://doi.org/10.25921/nmm6-8x87,FALSE
database_itrdb_cana047,Fort Providence,FALSE,61.17,-117.37,,1988,1988,1829,Picea,glauca,,(Moench) Voss,Schweingruber - Fort Providence - PCGL - ITRDB CANA047,"Schweingruber, F.H.",https://doi.org/10.25921/d9zq-j405,FALSE
database_itrdb_cana048,Fort Simpson McKenzie River Terrace,FALSE,61.68,-120.72,,1988,1988,1821,Picea,glauca,,(Moench) Voss,Schweingruber - Fort Simpson McKenzie River Terrace - PCGL - ITRDB CANA048,"Schweingruber, F.H.",https://doi.org/10.25921/cejr-rd91,FALSE
